longitude,latitude
-74,-33
-74,20
-74,21
-74,22
-74,38
-74,39
-73,12
-73,38
-73,39
-72,-33
-72,13
-72,37
-72,38
-72,40
-71,40
-70,41
-70,43
-69,-67
-69,-65
-69,18
-69,40
-68,-66
-68,-65
-68,37
-68,40
-68,41
-68,44
-67,12
-67,40
-67,44
-66,19
-65,-65
-65,18
-65,32
-65,33
-64,33
-63,11
-63,17
-63,18
-63,20
-62,-64
-61,-63
-61,-57
-61,-40
-61,11
-61,12
-61,16
-60,-62
-60,-61
-60,-54
-60,-53
-60,-52
-59,-62
-59,-59
-59,-55
-59,-54
-59,-53
-58,-62
-58,-57
-58,-52
-57,-62
-57,-61
-57,-55
-57,-52
-57,7
-56,-61
-56,-55
-56,7
-55,-62
-55,-61
-55,-60
-55,-58
-55,-57
-55,-54
-55,-35
-55,7
-55,8
-54,7
-53,-61
-52,-57
-52,-35
-52,5
-52,6
-52,64
-51,-56
-51,-31
-51,5
-50,-53
-50,-51
-50,-48
-50,-47
-50,-44
-50,-43
-50,-41
-50,-40
-50,-36
-50,-33
-50,-30
-50,3
-50,10
-49,-59
-49,-56
-49,-41
-49,-36
-49,30
-48,-30
-47,-60
-47,-52
-47,-34
-47,9
-46,-60
-46,31
-46,60
-43,-54
-43,32
-42,-58
-42,-23
-42,16
-41,-54
-40,-57
-40,-54
-40,-53
-40,-51
-40,-48
-40,-47
-40,-46
-40,-45
-40,-43
-40,-42
-40,-40
-40,-39
-40,-36
-40,-35
-40,33
-39,-54
-38,-58
-38,-55
-38,-54
-37,-55
-37,-54
-37,-53
-36,-55
-36,-54
-35,-55
-35,-54
-32,-55
-32,35
-30,35
-30,65
-29,-52
-29,-50
-29,-1
-29,44
-29,50
-28,-56
-28,-48
-28,44
-28,45
-28,46
-28,48
-28,49
-27,-59
-27,-57
-27,-56
-27,-48
-27,-47
-27,39
-27,47
-27,48
-27,50
-26,-59
-26,-58
-26,-57
-26,-55
-26,-43
-26,37
-26,38
-26,43
-25,-75
-25,37
-25,38
-24,-34
-24,37
-24,41
-24,42
-23,-53
-23,-52
-23,-34
-23,42
-23,50
-22,-45
-22,45
-21,21
-21,22
-20,-73
-20,-44
-20,44
-20,50
-18,-72
-18,-37
-18,-34
-18,17
-18,45
-18,54
-18,55
-18,58
-17,-34
-17,14
-17,18
-17,22
-17,23
-17,33
-17,45
-17,50
-17,53
-16,-45
-16,45
-16,50
-15,28
-15,51
-15,53
-14,-8
-14,8
-14,29
-14,46
-14,50
-14,58
-13,-41
-13,-37
-13,46
-13,50
-13,51
-13,54
-13,60
-12,-38
-12,-37
-12,-36
-12,56
-12,59
-11,-58
-11,-40
-11,53
-11,58
-10,-41
-10,-40
-10,58
-10,60
-9,-70
-9,-36
-9,-35
-9,-34
-9,48
-8,37
-8,59
-7,-70
-7,-40
-6,-49
-6,-16
-6,1
-5,36
-3,-71
-3,-70
-2,-70
-1,-66
0,-64
0,-50
0,-42
0,-25
0,-23
0,-7
0,-5
0,-1
0,5
1,-42
1,-38
1,-33
1,-32
1,-1
2,-67
2,-54
2,-41
2,-33
2,41
3,-60
3,-55
3,-54
3,-41
3,-32
3,-30
3,-29
3,6
3,40
4,-54
4,-12
4,65
5,-52
5,-48
5,-33
5,-3
5,55
6,-69
6,-66
6,-34
6,4
6,55
6,79
7,-7
7,0
7,54
7,55
8,-69
8,-64
8,-36
8,-32
8,44
8,54
9,-62
9,-48
9,-32
9,-9
9,-1
9,4
9,44
10,-69
10,-60
10,-56
10,-50
10,-40
10,-39
10,-33
10,-31
10,-30
10,-28
10,-26
11,-34
11,-20
11,-19
11,-18
11,-17
11,-7
11,-6
11,-5
11,42
12,-50
12,-38
12,-37
12,-25
12,-23
12,-22
12,-21
12,-20
12,-19
12,-12
12,-9
12,-8
12,-7
12,-6
12,41
13,-53
13,-41
13,-37
13,-34
13,-30
13,-29
13,-28
13,-27
13,-26
13,-25
13,-24
13,-23
13,-22
13,-21
13,-12
13,-11
13,-10
13,-9
13,-8
14,-46
14,-42
14,-40
14,-39
14,-36
14,-34
14,-31
14,-30
14,-29
14,-28
14,-27
14,-26
14,-25
14,-24
14,-23
14,-22
14,72
15,-40
15,-38
15,-36
15,-34
15,-33
15,-32
15,-31
15,-30
15,-29
15,-28
15,-27
15,72
16,-40
16,-37
16,-35
16,-34
16,-33
16,-32
16,-31
16,-30
16,-29
17,-42
17,-40
17,-35
17,-34
17,-33
17,-32
17,-31
17,-30
18,-44
18,-43
18,-38
18,-37
18,-36
18,-35
18,-34
18,-32
18,42
19,-61
19,-42
19,-41
19,-40
19,-37
19,-36
19,-35
20,-44
20,-42
20,-40
20,-39
20,-38
20,-37
20,-36
20,-35
20,57
21,-56
21,-42
21,-38
21,-37
21,-36
21,-35
21,38
22,-45
22,-43
22,-42
22,-37
22,-36
22,-35
23,-53
23,-38
23,-36
23,-35
24,-35
25,-44
25,-36
25,-35
26,-45
26,-36
26,-35
26,-34
26,35
27,-59
27,-57
27,-35
27,-34
28,-35
28,-34
29,-33
30,-47
30,-34
30,-32
31,-32
31,-31
31,-30
32,-34
32,-32
32,-31
32,-30
32,-29
33,-39
33,-32
33,-30
33,-29
33,-27
33,-26
34,-47
34,-41
34,-34
34,-31
34,-30
34,-29
34,-28
34,-26
35,-47
35,-46
35,-44
35,-37
35,-36
35,-35
35,-33
35,-32
35,-28
35,-26
35,-25
35,-20
35,28
36,-47
36,-46
36,-45
36,-36
36,-35
36,-34
36,-32
36,-27
36,-26
36,-25
36,-24
36,-23
36,-22
36,-21
36,-20
37,-47
37,-46
37,-45
37,-33
37,-25
37,-24
37,-19
37,-18
38,-47
38,-46
38,-45
38,-27
38,-18
39,-47
39,-46
39,-18
39,-6
39,22
40,-47
40,-46
40,-44
40,-34
40,-30
40,-27
40,-26
40,-24
40,-22
40,-21
40,-17
40,-8
40,-7
40,-5
40,-4
40,16
41,-43
41,-39
41,-38
41,-36
41,-34
41,-17
41,-15
41,-14
41,-13
41,-12
41,-11
41,-4
41,-3
42,-46
42,-42
42,-27
42,-17
42,-16
42,-15
42,-5
42,15
42,16
43,-47
43,-41
43,-40
43,-26
43,-22
43,-17
43,-16
43,-11
43,13
44,-35
44,-33
44,-27
44,-26
44,-20
44,-17
44,-16
44,-13
44,-11
44,12
45,-35
45,-34
45,-33
45,-32
45,-30
45,-26
45,-13
45,-12
46,-46
46,-40
46,-33
46,-31
46,-28
46,-13
46,-10
46,-9
47,-46
47,-39
47,-28
47,-25
47,-10
48,-66
48,-65
48,-64
48,-63
48,-62
48,-61
48,-60
48,-40
48,-39
48,-38
48,-36
48,-30
48,-14
48,-13
48,-12
48,-10
48,-9
48,12
48,30
49,-43
49,-28
49,-12
49,28
50,-41
50,-38
50,-29
50,-18
50,-16
50,-12
50,27
51,-20
51,-10
51,-9
51,10
51,26
51,27
52,-64
52,-63
52,-62
52,-31
52,-10
52,-7
53,-65
53,-64
53,-63
53,-62
53,-61
53,-60
53,-43
53,-36
53,-32
53,-25
53,-7
53,-6
53,-5
53,-4
53,12
54,-65
54,-64
54,-63
54,-62
54,12
55,-37
55,-21
55,-13
55,-5
55,-4
55,-1
55,17
56,-65
56,-64
56,-63
56,-62
56,-6
56,-5
56,-4
56,10
57,-62
57,-38
57,-21
57,-20
57,-13
57,-5
57,25
58,-65
58,-64
58,-63
58,-62
58,-60
58,-30
58,-21
58,-20
58,20
58,25
59,-59
59,-23
59,20
60,-66
60,-64
60,-63
60,-62
60,-17
60,-16
60,-7
60,16
61,-66
61,-65
61,-11
61,-10
62,-66
62,-65
62,-64
62,-63
62,-62
62,-54
62,-11
63,-66
63,-64
63,-20
63,20
64,-66
64,-65
64,-64
64,-63
64,-62
64,25
65,-66
66,-67
66,-63
67,24
68,-63
68,-61
69,-62
69,-50
69,-44
70,21
71,-69
71,-64
71,-51
71,-50
71,-48
71,-6
72,-68
72,-67
72,-53
72,-33
72,-6
72,-5
72,10
72,11
72,18
73,-68
73,-67
73,-63
73,-53
73,-51
73,-39
73,-37
73,-36
73,1
73,2
73,3
73,4
73,5
73,10
73,11
73,18
74,-69
74,-67
74,-53
74,4
74,13
74,15
75,-67
75,-62
75,-53
75,8
76,-52
76,10
77,-69
77,-63
77,-52
77,-39
77,-38
77,-25
77,8
78,-66
78,-39
78,-38
78,-34
79,8
79,9
80,-64
80,11
80,12
81,6
81,9
82,-59
83,-60
87,20
90,15
90,20
91,-21
91,20
92,11
92,21
93,-20
93,7
93,10
93,11
93,12
93,13
94,7
95,-41
95,10
96,-6
96,6
97,3
97,11
98,-1
98,1
98,6
98,7
98,8
98,9
98,12
99,-2
99,6
99,7
100,-34
100,-1
100,11
101,12
102,10
103,6
104,1
107,-6
109,16
113,-26
113,-24
114,-29
114,-9
114,-7
114,15
114,20
114,22
115,-32
115,-31
116,6
116,21
117,15
117,21
118,-59
118,-9
118,-1
118,1
119,-2
119,23
120,22
120,23
120,24
121,-9
121,22
122,8
122,22
122,23
124,9
124,10
124,24
126,-14
126,-8
128,-5
128,3
129,0
129,3
129,28
130,-13
131,-12
131,-2
132,-12
132,-11
134,33
137,-2
138,-35
138,9
139,-36
139,34
140,35
141,35
141,42
142,38
145,13
145,14
146,-47
146,-16
146,-5
146,15
148,-43
148,8
150,-19
151,-35
151,-23
151,-22
152,-33
152,-24
153,-33
154,-28
154,-4
159,-54
159,-39
159,-32
162,12
165,12
166,-77
166,-75
166,-22
167,-78
167,-48
167,-23
167,11
167,12
168,-29
168,-24
168,-18
170,-32
171,-46
172,-74
172,7
173,-75
173,2
174,-39
175,-76
175,-73
175,-43
175,-42
176,-37
176,-2
177,-40
178,-78
178,-17
178,52
179,-18
179,-17
179,-16
179,30
